endTime,artistName,trackName,msPlayed
2021-12-06 11:51,Jimmy Eat World,Work,1230
2021-12-06 11:51,Ellie Goulding,Here's To Us,3020
2021-12-06 11:51,Shallou,Lie,5070
2021-12-06 11:51,H.E.R.,Losing,2000
2021-12-06 11:51,Cash Cash,Call You (feat. Nasri of MAGIC!),770
2021-12-06 11:51,Paula Cole,I Don't Want to Wait,960
2021-12-06 11:51,KLEAR,หาย,1370
2021-12-06 11:51,Bleachers,I Miss Those Days,970
2021-12-06 11:51,M2M,Mirror Mirror,1780
2021-12-06 11:51,Wingtip,Walls,2420
2021-12-06 11:51,Marc Tatchapon,ที่เก่า,1090
2021-12-06 11:51,Katy Perry,Hot N Cold,910
2021-12-06 11:51,The Killers,Smile Like You Mean It,1010
2021-12-06 11:51,Hailee Steinfeld,"Back to Life - from ""Bumblebee""",1240
2021-12-06 11:51,Justin Bieber,Holy (feat. Chance The Rapper),1090
2021-12-06 11:51,R3HAB,Whiplash,2950
2021-12-06 11:51,ETC.,เธอคือใคร,1150
2021-12-06 11:51,TOR Saksit,รักเธอ,3310
2021-12-06 11:51,Billie Eilish,idontwannabeyouanymore,910
2021-12-06 11:51,Camila Cabello,Real Friends,620
2021-12-06 11:51,Sam Smith,Pray,860
2021-12-06 11:51,Devin Kennedy,Something Bout That Feeling,1780
2021-12-06 11:51,Robinson,Medicine,2250
2021-12-06 11:51,The All-American Rejects,Stab My Back,1110
2021-12-06 11:51,The 1975,Settle Down,2050
2021-12-06 11:51,Chase Rice,Lonely If You Are,920
2021-12-06 11:51,Harry Styles,Adore You,1030
2021-12-06 11:51,Benne,Was zum träumen,1130
2021-12-06 11:51,Florida Georgia Line,Simple,610
2021-12-06 11:51,The All-American Rejects,The Wind Blows,1250
2021-12-06 11:51,Khalid,Up All Night,870
2021-12-06 11:51,Zom Marie,โลกอีกใบ,740
2021-12-06 11:54,Zeal,ยิ่งห้ามยิ่งหวั่นไหว (เพลงประกอบละคร คลื่นชีวิต),192820
2021-12-06 11:55,Keith Urban,Blue Ain't Your Color,570
2021-12-06 11:55,Superbaker,ถาม,1210
2021-12-06 11:58,Wan Thanakrit,คาเฟอีน,214000
2021-12-06 12:00,Sqweez Animal,บอกไม่ได้,109960
